Date,Average temperature,Average humidity,Average dewpoint,Average barometer,Average windspeed,Average gustspeed,Average direction,Rainfall for month,Rainfall for year,Maximum rain per minute,Maximum temperature,Minimum temperature,Maximum humidity,Minimum humidity,Maximum pressure,Minimum pressure,Maximum windspeed,Maximum gust speed,Maximum heat index
4/1/2023,38.1,36,13,29.8,17,25.4,264,0,1.8,0,47.8,28.7,52,24,29.949,29.623,31.1,42.6,47.8
4/2/2023,42.8,33,14.6,29.5,12.9,18.9,265,0,1.8,0,50,34.2,68,25,29.648,29.423,28.8,40.3,50
4/3/2023,34.4,70,25.4,29.4,3,5.5,101,0,1.8,0,40.8,27,92,56,29.458,29.274,10.4,16.1,40.8
4/4/2023,16.9,87,13.8,29.5,3.3,5.4,89,0.02,1.82,0.01,27,10.3,92,82,29.904,29.267,10.4,15,27
4/5/2023,18.1,61,5.9,30.1,5.5,8.7,276,0.07,1.87,0.01,32.6,6,88,32,30.301,29.903,16.1,26.5,32.6
4/6/2023,24.2,46,4.4,30.3,5.9,8.6,244,0.12,1.92,0.01,38.1,8,76,19,30.361,30.283,17.3,24.2,38.1
4/7/2023,32.2,50,12.4,30.2,4.9,7.2,253,0.12,1.92,0,51.4,9.8,80,23,30.325,30.039,20.7,26.5,51.4
4/8/2023,37,57,21.4,30,4.6,6.8,238,0.12,1.92,0,51,23.6,82,24,30.064,29.937,18.4,26.5,51
4/9/2023,44.5,43,22.4,30,7.9,11.3,252,0.12,1.92,0,55.1,34.5,60,27,30.126,30.007,19.6,27.6,55.1
4/10/2023,52.9,30,20.8,30,4.6,7.4,211,0.12,1.92,0,66.7,34.9,64,19,30.116,29.937,15,26.5,66.7
4/11/2023,52.2,34,18.3,29.8,8.2,12,259,0.12,1.92,0,68,26,83,12,29.971,29.711,23,33.4,68
4/12/2023,56.8,28,22.9,29.5,8.1,12,241,0.12,1.92,0,67.8,37.3,51,16,29.714,29.298,20.7,33.4,67.8
4/13/2023,51.4,34,21.4,29.2,6.9,10.7,252,0.12,1.92,0,61.8,36.6,67,16,29.299,29.158,17.3,29.9,61.8
4/14/2023,33,80,26.3,29.5,3.5,5.8,98,0.28,2.08,0.01,48.4,23.9,94,30,29.813,29.197,18.4,25.3,48.4
4/15/2023,29.3,56,14,30.1,7.5,11.6,270,0.32,2.12,0.01,37.6,20.9,94,32,30.247,29.81,19.6,32.2,37.6
4/16/2023,40.7,34,13.4,30.1,8.4,12.4,264,0.32,2.12,0,53.3,29,63,23,30.227,29.876,20.7,34.5,53.3
4/17/2023,48.1,30,16.1,29.7,6.7,9.9,259,0.32,2.12,0,59.3,29,64,15,29.878,29.505,18.4,26.5,59.3
4/18/2023,44.3,41,18.2,29.4,6.8,10.1,238,0.32,2.12,0,61.4,25.7,76,13,29.523,29.296,24.2,32.2,61.4
4/19/2023,36.3,50,18.9,29.5,9.1,14.1,244,0.34,2.14,0.01,48.1,24.2,88,31,29.775,29.303,20.7,28.8,48.1
4/20/2023,26.6,37,3.5,30,11.6,17.8,268,0.34,2.14,0,34.2,19.1,65,24,30.17,29.763,26.5,40.3,34.2
4/21/2023,27.1,58,13.4,30.1,6.8,11.1,262,0.36,2.16,0.01,35.3,21.8,90,36,30.166,29.991,23,36.8,35.3
4/22/2023,24.3,86,20.8,30.1,2.2,4.1,76,0.44,2.24,0.01,29.8,19.7,91,75,30.175,25.465,10.4,15,29.8
4/23/2023,30.3,69,20.6,30.1,1.3,2.6,79,0.45,2.25,0.01,46.3,11.4,92,46,30.16,29.941,10.4,13.8,46.3
4/24/2023,38.9,59,23.9,29.8,3.3,5.2,174,0.45,2.25,0,51.2,22,91,32,29.942,29.664,13.8,19.6,51.2
4/25/2023,37.1,81,31.2,29.7,3.8,6.1,82,0.61,2.41,0.01,49.9,29.9,96,44,29.902,29.574,15,21.9,49.9
4/26/2023,38.9,82,33.4,29.9,1.5,3.1,91,0.76,2.56,0.04,51.5,31.2,97,53,29.988,29.861,10.4,16.1,51.5
4/27/2023,43.1,55,25.9,29.7,8.5,13.5,274,0.78,2.58,0.01,54.8,30.8,94,28,29.862,29.554,21.9,36.8,54.8
4/28/2023,38.7,55,21.3,30,4.2,6.8,321,0.86,2.66,0.01,52.3,22.9,90,25,30.087,29.845,15,23,52.3
4/29/2023,50.2,35,23,29.9,5.9,9,277,0.86,2.66,0,64.4,39.8,58,23,30.06,29.796,15,21.9,64.4
4/30/2023,44.8,60,30.5,29.8,2.4,4.2,65,0.86,2.66,0,59.7,26.5,90,37,29.827,29.733,11.5,18.4,59.7
