Date,Average temperature,Average humidity,Average dewpoint,Average barometer,Average windspeed,Average gustspeed,Average direction,Rainfall for month,Rainfall for year,Maximum rain per minute,Maximum temperature,Minimum temperature,Maximum humidity,Minimum humidity,Maximum pressure,Minimum pressure,Maximum windspeed,Maximum gust speed,Maximum heat index
3/1/2023,20.4,59,6.4,29.8,3.1,5,185,0,0.95,0,27.4,13.7,90,25,29.83,29.757,12.7,19.6,27.4
3/2/2023,25.6,57,10.9,29.8,7.5,11,155,0.04,0.99,0.01,37.2,10.5,91,32,29.839,29.677,19.6,29.9,37.2
3/3/2023,27.6,50,11.3,29.6,9.5,14,241,0.04,0.99,0,36.4,23,80,36,29.758,29.526,24.2,38,36.4
3/4/2023,26.5,50,8.6,29.8,9.5,13.3,265,0.04,0.99,0,35.7,19.1,75,19,29.868,29.636,24.2,34.5,35.7
3/5/2023,27.2,62,15.2,29.7,7.2,10.1,218,0.04,0.99,0,35.5,4.4,88,38,29.847,29.412,21.9,32.2,35.5
3/6/2023,24.7,68,14.4,30,2.3,4.4,96,0.05,1,0.01,35.1,11.9,91,33,30.038,29.845,11.5,17.3,35.1
3/7/2023,21.6,85,17.6,30.1,2.6,4.9,96,0.05,1,0,28.6,17.8,92,72,30.196,29.961,10.4,16.1,28.6
3/8/2023,23.5,78,17.6,30.1,2.2,4.1,97,0.05,1,0,30.2,19.5,91,63,30.176,29.936,10.4,13.8,30.2
3/9/2023,27.8,55,12,30,8,12.2,256,0.06,1.01,0.01,38.2,18.4,91,28,30.113,29.933,26.5,39.1,38.2
3/10/2023,36.3,58,22.4,29.7,12.6,18.8,263,0.06,1.01,0,44.5,16.4,87,27,30.01,29.449,35.7,54.1,44.5
3/11/2023,34.6,52,17.4,29.6,8.6,13,245,0.08,1.03,0.01,40.7,24.9,92,27,29.812,29.409,26.5,36.8,40.7
3/12/2023,24.7,73,16.9,30,2.6,4.5,74,0.08,1.03,0,32.7,15,86,49,30.115,29.808,10.4,18.4,32.7
3/13/2023,32.3,60,18.6,30,6.5,9.7,245,0.08,1.03,0,45.4,16.6,91,35,30.098,29.905,18.4,29.9,45.4
3/14/2023,39.1,42,17.9,29.8,11,16.2,250,0.08,1.03,0,47.6,33.6,56,31,29.907,29.625,25.3,38,47.6
3/15/2023,43.9,53,27.7,29.5,13.5,20.2,262,0.08,1.03,0,50.1,35.5,80,43,29.665,29.38,27.6,42.6,50.1
3/16/2023,25.9,70,17.2,29.8,4.4,7.2,90,0.09,1.04,0.01,35.5,16.1,89,42,30.142,29.383,13.8,19.6,35.5
3/17/2023,21.7,47,0.8,30.2,3.8,6.4,349,0.09,1.04,0,37.9,6.3,80,12,30.29,30.145,16.1,24.2,37.9
3/18/2023,26.2,24,7.7,30.3,4.5,7.5,333,0.09,1.04,0,39.4,13,43,10,30.308,30.205,20.7,32.2,39.4
3/19/2023,27.7,34,1.4,30.1,8.1,11.9,244,0.09,1.04,0,39.9,7,62,17,30.278,29.848,21.9,32.2,39.9
3/20/2023,35,47,16.1,29.6,4.8,7.3,205,0.09,1.04,0,44.2,28.9,79,35,29.849,29.491,18.4,24.2,44.2
3/21/2023,31.9,52,15.2,29.6,9.6,14,263,0.09,1.04,0,39.8,26.7,93,27,29.726,29.455,25.3,36.8,39.8
3/22/2023,28.2,84,23.7,29.7,3.1,4.8,285,0.3,1.25,0.01,34.6,23.7,92,66,29.863,29.607,16.1,24.2,34.6
3/23/2023,31.2,53,15.5,29.8,7.7,11.5,254,0.49,1.44,0.01,40.4,24.6,77,33,29.891,29.786,18.4,29.9,40.4
3/24/2023,29.9,48,12.1,29.7,7.3,10.8,253,0.49,1.44,0,37.8,22.4,87,32,29.817,29.626,18.4,26.5,37.8
3/25/2023,19.7,39,1.6,29.8,14,21.2,267,0.49,1.44,0,25.6,14.8,87,27,29.974,29.614,28.8,46,25.6
3/26/2023,20.3,43,0.2,30,8.3,12.5,256,0.49,1.44,0,29.6,13.6,87,17,30.065,29.963,19.6,26.5,29.6
3/27/2023,17.3,57,3,30.2,5.7,9.2,278,0.54,1.49,0.01,23.1,13.7,89,32,30.47,30.012,17.3,26.5,23.1
3/28/2023,28.6,29,1,30.2,9,12.7,249,0.55,1.5,0.01,43.1,15.3,45,13,30.457,29.96,18.4,29.9,43.1
3/29/2023,36.4,47,16.3,29.8,4,6.4,41,0.55,1.5,0,51.1,25.4,87,23,29.96,29.597,15,20.7,51.1
3/30/2023,36.4,53,17.7,29.4,6.6,10,275,0.55,1.5,0,52.8,22.5,88,22,29.6,29.289,23,34.5,52.8
3/31/2023,31.9,42,11.2,29.6,20.4,30.2,260,0.55,1.5,0,35.1,29.6,50,36,29.816,27.584,35.7,52.9,35.1
